id,district_id,name_current,name_old,is_merged
173,12,Xã Long Sơn,,False
174,13,Phường Phước Hưng,,False
175,13,Phường Phước Hiệp,,False
176,13,Phường Phước Nguyên,,False
177,13,Phường Long Toàn,,False
178,13,Phường Long Tâm,,False
179,13,Phường Phước Trung,,False
180,13,Phường Long Hương,,False
181,13,Phường Kim Dinh,,False
182,13,Xã Tân Hưng,,False
183,13,Xã Long Phước,,False
184,13,Xã Hoà Long,,False
185,14,Xã Bàu Chinh,,False
186,14,Thị trấn Ngãi Giao,,False
187,14,Xã Bình Ba,,False
188,14,Xã Suối Nghệ,,False
189,14,Xã Xuân Sơn,,False
190,14,Xã Sơn Bình,,False
191,14,Xã Bình Giã,,False
192,14,Xã Bình Trung,,False
193,14,Xã Xà Bang,,False
194,14,Xã Cù Bị,,False
195,14,Xã Láng Lớn,,False
196,14,Xã Quảng Thành,,False
197,14,Xã Kim Long,,False
198,14,Xã Suối Rao,,False
199,14,Xã Đá Bạc,,False
200,14,Xã Nghĩa Thành,,False
201,15,Thị trấn Phước Bửu,,False
202,15,Xã Phước Thuận,,False
203,15,Xã Phước Tân,,False
204,15,Xã Xuyên Mộc,,False
205,15,Xã Bông Trang,,False
206,15,Xã Tân Lâm,,False
207,15,Xã Bàu Lâm,,False
208,15,Xã Hòa Bình,,False
209,15,Xã Hòa Hưng,,False
210,15,Xã Hòa Hiệp,,False
211,15,Xã Hòa Hội,,False
212,15,Xã Bưng Riềng,,False
213,15,Xã Bình Châu,,False
214,16,Thị trấn Long Điền,,False
215,16,Thị trấn Long Hải,,False
216,16,Xã An Ngãi,,False
217,16,Xã Tam Phước,,False
218,16,Xã An Nhứt,,False
219,16,Xã Phước Tỉnh,,False
220,16,Xã Phước Hưng,,False
221,17,Thị trấn Đất Đỏ,,False
222,17,Xã Phước Long Thọ,,False
223,17,Xã Phước Hội,,False
224,17,Xã Long Mỹ,,False
225,17,Thị trấn Phước Hải,,False
226,17,Xã Long Tân,,False
227,17,Xã Láng Dài,,False
